url,text,eco_friendly
https://terrathread.com/," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/,"                                                                     
                                                                     
",Yes
https://us.boohoo.com/,"Hear about exclusive offers, get early access to collabs & quicker checkout *Excludes Sale & New In. 


 *Extra 15% discount sent via email to new subscribers only. By subscribing, you agree to receive marketing communications from boohoo by email. You can unsubscribe at any point.
 
 
        Hear about exclusive offers, get early access to collabs & quicker checkout
                                                                         
                                                                     
",Yes
https://terrathread.com/pages/terra-thread-shipping,"                                                                     
                                                                     
",Yes
https://terrathread.com/collections/terra-thread-products," organic                                                                    
 organic                                                                    
",Yes
https://terrathread.com/pages/terra-thread-press-kit," GOTS certified  organic                                                                  
 GOTS certified  organic                                                                  
",Yes
https://terrathread.com/collections/backpacks," GOTS certified  organic                                                                  
 GOTS certified  organic                                                                  
",Yes
https://terrathread.com/collections/travel-bags," GOTS certified  organic                                                                  
 GOTS certified  organic                                                                  
",Yes
https://terrathread.com/collections/sustainable-tote-bags," GOTS certified  organic                                                                  
 GOTS certified  organic                                                                  
",Yes
https://terrathread.com/collections/laptop-sleeves," GOTS certified  organic                                                                  
 GOTS certified  organic                                                                  
",Yes
https://terrathread.com/collections/pouches-makeup-pouches," GOTS certified  organic  B corp                                                                
 GOTS certified  organic  B corp                                                                
",Yes
https://terrathread.com/pages/about-terrathread," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/collections/apparel-roc/products/organic-cotton-zip-up-hoodies," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-zip-up-hoodies?variant=39937229946964," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-zip-up-hoodies?variant=39937230176340," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-zip-up-hoodies?variant=39937230635092," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-zip-up-hoodies?variant=39937230405716," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/collections/apparel-roc/products/organic-cotton-t-shirts," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-t-shirts?variant=39937229226068," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-t-shirts?variant=39937229455444," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-t-shirts?variant=39937228996692," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-t-shirts?variant=39937228537940," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/collections/apparel-roc/products/organic-cotton-pullover-hoodies," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-pullover-hoodies?variant=39937231093844," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-pullover-hoodies?variant=39937231552596," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-pullover-hoodies?variant=39937231323220," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-pullover-hoodies?variant=39937230864468," organic  GOTS certified  fair trade                                                                
 organic  GOTS certified  fair trade                                                                
",Yes
https://terrathread.com/collections/apparel-roc/products/organic-cotton-beanies," organic  GOTS certified  fair trade                                                                
 organic  GOTS certified  fair trade                                                                
",Yes
https://terrathread.com/products/organic-cotton-beanies?variant=39911174013012," organic  GOTS certified  fair trade                                                                
 organic  GOTS certified  fair trade                                                                
",Yes
https://terrathread.com/products/organic-cotton-beanies?variant=39911174144084," organic  GOTS certified  fair trade                                                                
 organic  GOTS certified  fair trade                                                                
",Yes
https://terrathread.com/products/organic-cotton-beanies?variant=39911173947476," organic  GOTS certified  fair trade                                                                
 organic  GOTS certified  fair trade                                                                
",Yes
https://terrathread.com/products/organic-cotton-beanies?variant=39911173980244," B corp                                                                    
 B corp                                                                    
",Yes
https://terrathread.com/pages/certified-b-corporation," fair trade  biodegradable                                                                  
 fair trade  biodegradable                                                                  
",Yes
https://terrathread.com/pages/fairtrade-organic-cotton," GOTS certified  organic  living wage                                                                
 GOTS certified  organic  living wage                                                                
",Yes
https://terrathread.com/pages/global-organic-textile-standard," WRAP certified                                                                    
 WRAP certified                                                                    
",Yes
https://terrathread.com/pages/fair-trade-factory," social impact  OCS certified  organic                                                                
 social impact  OCS certified  organic                                                                
",Yes
https://terrathread.com/pages/regenerative-organic-certified,"                                                                     
                                                                     
",Yes
https://terrathread.com/pages/supporting-feeding-america," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-zip-up-hoodies," fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
 fair trade  Regenerative Organic Certified  carbon neutral  GOTS certified  organic                                                            
",Yes
https://terrathread.com/products/organic-cotton-pullover-hoodies," fair trade  GOTS certified  organic                                                                
 fair trade  GOTS certified  organic                                                                
",Yes
https://terrathread.com/products/organic-cotton-fanny-packs," organic  GOTS certified  fair trade                                                                
 organic  GOTS certified  fair trade                                                                
",Yes
https://terrathread.com/products/executive-work-tote-bag," organic  GOTS certified  fair trade                                                                
 organic  GOTS certified  fair trade                                                                
",Yes
https://terrathread.com/products/sustainable-duffle-bag," recycled  organic                                                                  
 recycled  organic                                                                  
",Yes
https://terrathread.com/blogs/news/ways-to-celebrate-earth-day," recycled  organic                                                                  
 recycled  organic                                                                  
",Yes
https://terrathread.com/blogs/news/new-year-resolutions-for-the-greater-good," organic  Regenerative Organic Certified  WRAP certified                                                                
 organic  Regenerative Organic Certified  WRAP certified                                                                
",Yes
https://terrathread.com/blogs/news/best-gifts-under-25,"                                                                     
                                                                     
",Yes
https://terrathread.com/blogs/news,"                                                                     
                                                                     
",Yes
https://terrathread.com/collections/all," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/pages/email-subscription," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/new-arrivals," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/best-sellers," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/easter-collection," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/sale," organic  social impact  upcycled                                                                
 organic  social impact  upcycled                                                                
",Yes
https://anchalproject.org/collections/vintage-kantha," social impact  upcycled                                                                  
 social impact  upcycled                                                                  
",Yes
https://anchalproject.org/collections/vintage-silk-collection," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/organic-cotton," social impact  handcrafted  artisan  organic                                                              
 social impact  handcrafted  artisan  organic                                                              
",Yes
https://anchalproject.org/collections/block-print-collection," recycled  organic  social impact                                                                
 recycled  organic  social impact                                                                
",Yes
https://anchalproject.org/collections/merchandise," upcycled  handcrafted  artisan  organic                                                              
 upcycled  handcrafted  artisan  organic                                                              
",Yes
https://anchalproject.org/collections/graduation-gifts," social impact  upcycled  artisan  organic                                                              
 social impact  upcycled  artisan  organic                                                              
",Yes
https://anchalproject.org/collections/gifts-under-100," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/gifts-under-50," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/gift-cards," organic  social impact  upcycled                                                                
 organic  social impact  upcycled                                                                
",Yes
https://anchalproject.org/collections/scarves," social impact  handcrafted  artisan  organic                                                              
 social impact  handcrafted  artisan  organic                                                              
",Yes
https://anchalproject.org/collections/quilts," social impact  handcrafted  organic                                                                
 social impact  handcrafted  organic                                                                
",Yes
https://anchalproject.org/collections/throws," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/baby-quilts," social impact  handcrafted  artisan  organic                                                              
 social impact  handcrafted  artisan  organic                                                              
",Yes
https://anchalproject.org/collections/quilts/Blue," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/pillows," social impact  handcrafted  artisan  organic                                                              
 social impact  handcrafted  artisan  organic                                                              
",Yes
https://anchalproject.org/collections/square-pillows," fair trade  social impact                                                                  
 fair trade  social impact                                                                  
",Yes
https://anchalproject.org/collections/lumbar-pillows," social impact  upcycled                                                                  
 social impact  upcycled                                                                  
",Yes
https://anchalproject.org/collections/round-pillows," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/bedding," handcrafted  artisan  organic                                                                
 handcrafted  artisan  organic                                                                
",Yes
https://anchalproject.org/collections/twin-quilts," handcrafted  artisan  organic                                                                
 handcrafted  artisan  organic                                                                
",Yes
https://anchalproject.org/collections/queen-quilts," handcrafted  artisan  organic                                                                
 handcrafted  artisan  organic                                                                
",Yes
https://anchalproject.org/collections/king-quilts," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/pillow-shams," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/bedding-bundles," organic  social impact  upcycled                                                                
 organic  social impact  upcycled                                                                
",Yes
https://anchalproject.org/collections/kitchen-and-dining," social impact  upcycled                                                                  
 social impact  upcycled                                                                  
",Yes
https://anchalproject.org/collections/aprons," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/table-linens," social impact  upcycled                                                                  
 social impact  upcycled                                                                  
",Yes
https://anchalproject.org/collections/kitchen-linens," handcrafted  artisan  organic                                                                
 handcrafted  artisan  organic                                                                
",Yes
https://anchalproject.org/collections/home-accents," social impact  upcycled                                                                  
 social impact  upcycled                                                                  
",Yes
https://anchalproject.org/collections/garlands," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/framed-textile-art," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/window-curtains," handcrafted  artisan  organic                                                                
 handcrafted  artisan  organic                                                                
",Yes
https://anchalproject.org/collections/shower-curtains," upcycled  handcrafted  artisan  organic                                                              
 upcycled  handcrafted  artisan  organic                                                              
",Yes
https://anchalproject.org/collections/home-decor," organic  social impact  upcycled                                                                
 organic  social impact  upcycled                                                                
",Yes
https://anchalproject.org/collections/apparel," artisan  organic  social impact                                                                
 artisan  organic  social impact                                                                
",Yes
https://anchalproject.org/collections/dresses," social impact  upcycled                                                                  
 social impact  upcycled                                                                  
",Yes
https://anchalproject.org/collections/one-of-a-kind-quilted-jackets," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/tops," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/hoodies," social impact  upcycled  artisan  organic                                                              
 social impact  upcycled  artisan  organic                                                              
",Yes
https://anchalproject.org/collections/robes," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/bags," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/belt-bags," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/totes," social impact  upcycled                                                                  
 social impact  upcycled                                                                  
",Yes
https://anchalproject.org/collections/pouches," social impact  upcycled  organic                                                                
 social impact  upcycled  organic                                                                
",Yes
https://anchalproject.org/collections/travel-bags," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/laptop-bags," organic  social impact  upcycled                                                                
 organic  social impact  upcycled                                                                
",Yes
https://anchalproject.org/collections/bandanas," upcycled  handcrafted  artisan  organic                                                              
 upcycled  handcrafted  artisan  organic                                                              
",Yes
https://anchalproject.org/collections/square-scarves," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/long-scarves," social impact  upcycled                                                                  
 social impact  upcycled                                                                  
",Yes
https://anchalproject.org/collections/infinity-scarves," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/pet-bandanas," social impact  upcycled                                                                  
 social impact  upcycled                                                                  
",Yes
https://anchalproject.org/collections/hair-accessories," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/scrunchies," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/headbands," organic  social impact  upcycled                                                                
 organic  social impact  upcycled                                                                
",Yes
https://anchalproject.org/collections/pocket-squares," social impact  upcycled  artisan  organic                                                              
 social impact  upcycled  artisan  organic                                                              
",Yes
https://anchalproject.org/collections/fashion," social impact  artisan  organic                                                                
 social impact  artisan  organic                                                                
",Yes
https://anchalproject.org/collections/kids-apparel," social impact  artisan  organic                                                                
 social impact  artisan  organic                                                                
",Yes
https://anchalproject.org/collections/kids-tops," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/kids-hats," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/kids-bags," social impact  artisan  organic                                                                
 social impact  artisan  organic                                                                
",Yes
https://anchalproject.org/collections/kids-bibs," social impact  upcycled  handcrafted  organic                                                              
 social impact  upcycled  handcrafted  organic                                                              
",Yes
https://anchalproject.org/collections/nursery-decor," social impact  upcycled                                                                  
 social impact  upcycled                                                                  
",Yes
https://anchalproject.org/collections/nursery-pillows," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/fabric-baskets," social impact                                                                    
 social impact                                                                    
",Yes
https://anchalproject.org/collections/stuffed-animals," social impact  upcycled  artisan  organic                                                              
 social impact  upcycled  artisan  organic                                                              
",Yes
https://anchalproject.org/collections/sustainable-baby-gifts," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/collections/baby-gifts-under-50," social impact  upcycled                                                                  
 social impact  upcycled                                                                  
",Yes
https://anchalproject.org/collections/kids," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/pages/our-story," organic  social impact                                                                  
 organic  social impact                                                                  
",Yes
https://anchalproject.org/pages/our-team," social impact  handcrafted  artisan  organic                                                              
 social impact  handcrafted  artisan  organic                                                              
",Yes
https://anchalproject.org/pages/brand-collaborations," social impact  artisan  living wage  organic                                                              
 social impact  artisan  living wage  organic                                                              
",Yes
https://anchalproject.org/pages/ethical-practices," social impact  upcycled  artisan  organic                                                              
 social impact  upcycled  artisan  organic                                                              
",Yes
https://anchalproject.org/pages/sustainable-process," social impact  artisan  living wage  organic                                                              
 social impact  artisan  living wage  organic                                                              
",Yes
https://anchalproject.org/pages/social-impact," artisan  organic  social impact                                                                
 artisan  organic  social impact                                                                
",Yes
https://anchalproject.org/pages/press," recycled  handcrafted  organic  social impact  artisan  living wage  fair trade                                                        
 recycled  handcrafted  organic  social impact  artisan  living wage  fair trade                                                        
",Yes
https://anchalproject.org/collections/kids/products/colorblock-toddler-hoodie-sage," recycled  social impact  handcrafted  artisan  living wage  organic                                                          
 recycled  social impact  handcrafted  artisan  living wage  organic                                                          
",Yes
